"","Protein.Group","Protein.ID","Accession","X.10lgP","Coverage....","Coverage.....Sample.1","Coverage.....Sample.2","Coverage.....Sample.3","Coverage.....Sample.4","Coverage.....Sample.5","Coverage.....Sample.6","Coverage.....Sample.7","Coverage.....Sample.8","Coverage.....Sample.9","Coverage.....Sample.10","Coverage.....Sample.11","Coverage.....Sample.12","Coverage.....Sample.13","Coverage.....Sample.14","Coverage.....Sample.15","Coverage.....Sample.16","Coverage.....Sample.17","Coverage.....Sample.18","Coverage.....Sample.19","Coverage.....Sample.20","Coverage.....Sample.21","Coverage.....Sample.22","Coverage.....Sample.23","Coverage.....Sample.24","Coverage.....Sample.25","Coverage.....Sample.26","Coverage.....Sample.27","Coverage.....Sample.28","Coverage.....Sample.29","Coverage.....Sample.30","Coverage.....Sample.31","Coverage.....Sample.32","Coverage.....Sample.33","BT_1","BT_2","BT_3","BT_4","BT_5","BT_6","BT_7","BT_8","BT_9","BT_10","BT_11","BT_12","BT_13","BT_14","CJK_1","CJK_2","CJK_3","CJK_4","CJK_5","CJK_6","CJK_7","CJK_8","CJK_9","CJK_10","CJK_11","CJK_12","CJK_13","CJK_14","CJK_16","CJK_17","CJK_18","CJK_19","CJK_20","X.Peptides","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","X.Spec.Sample.6","X.Spec.Sample.7","X.Spec.Sample.8","X.Spec.Sample.9","X.Spec.Sample.10","X.Spec.Sample.11","X.Spec.Sample.12","X.Spec.Sample.13","X.Spec.Sample.14","X.Spec.Sample.15","X.Spec.Sample.16","X.Spec.Sample.17","X.Spec.Sample.18","X.Spec.Sample.19","X.Spec.Sample.20","X.Spec.Sample.21","X.Spec.Sample.22","X.Spec.Sample.23","X.Spec.Sample.24","X.Spec.Sample.25","X.Spec.Sample.26","X.Spec.Sample.27","X.Spec.Sample.28","X.Spec.Sample.29","X.Spec.Sample.30","X.Spec.Sample.31","X.Spec.Sample.32","X.Spec.Sample.33","PTM","Avg..Mass","Description...",Gene_id
"1",10,181,"Q09666|AHNK_HUMAN",585.27,73,56,52,56,50,55,56,56,54,52,48,52,50,58,53,43,24,49,41,48,36,51,36,49,43,51,37,36,40,32,42,42,32,45,3208900000,2374900000,2880800000,1909900000,3236700000,3255400000,3441100000,2.948e+09,2548700000,1770600000,2411100000,2.038e+09,3105200000,2409800000,2296400000,201810000,5520600000,1276900000,3526700000,1.872e+09,5389500000,1.107e+09,5.859e+09,3463400000,7258500000,1182700000,2700500000,2351600000,1754100000,1.479e+09,1692100000,595420000,1666300000,475,475,628,506,478,405,590,506,572,538,488,399,432,459,606,522,333,161,455,301,444,297,503,329,489,418,516,272,370,266,226,330,302,231,334,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",629114,"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2",AHNAK
"12",52,166,"Q14315|FLNC_HUMAN",478.2,61,33,22,34,26,24,22,34,24,29,22,34,23,33,31,27,20,29,16,26,17,26,18,30,27,31,18,21,21,27,32,31,28,33,556420000,131060000,772400000,241620000,351060000,129590000,623260000,193400000,407240000,257430000,1016900000,129040000,753910000,431010000,974760000,84175000,988370000,114840000,623870000,161170000,937590000,144150000,1203400000,544410000,1397200000,164980000,529420000,329760000,805120000,585940000,557950000,415340000,549290000,143,129,160,75,162,99,113,70,151,92,121,85,179,71,163,127,147,94,146,72,144,89,142,104,146,149,155,95,139,122,178,146,162,150,155,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",291020,"Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3",FLNC
"13",20,17,"P12814|ACTN1_HUMAN",473.95,93,76,70,74,78,73,75,78,76,71,76,72,75,77,78,59,55,73,61,69,66,65,66,71,67,72,67,67,75,68,73,68,64,74,1255800000,639910000,2463300000,2169800000,1251200000,1333700000,1987500000,1.812e+09,1580600000,1830600000,1751200000,1213700000,1.562e+09,1513100000,933470000,311390000,2351500000,513300000,1293200000,1272100000,2018200000,673760000,2486100000,2096600000,2807300000,765200000,1113400000,1998100000,1532300000,957480000,1519700000,578750000,1360500000,105,74,210,168,265,270,209,206,225,245,217,245,227,208,232,238,158,125,213,145,204,188,238,248,230,234,211,171,191,219,202,208,230,153,233,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",103058,"Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2",ACTN1
"14",70,221,"P46821|MAP1B_HUMAN",473.66,64,37,23,47,30,35,30,40,27,38,27,35,21,41,25,35,19,42,23,38,18,47,20,41,39,44,19,33,33,29,42,29,25,29,357670000,113210000,570070000,368160000,301900000,207020000,533800000,245100000,342300000,188370000,425400000,108800000,337030000,140170000,615670000,36708000,933980000,116330000,649960000,194420000,940090000,98322000,1119800000,613010000,1.114e+09,127630000,508260000,375640000,330250000,437850000,254410000,209710000,236940000,129,128,93,50,124,79,88,65,129,68,98,79,101,49,109,53,107,39,150,65,145,47,178,61,165,133,168,52,122,77,80,130,63,71,71,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",270632,"Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2",MAP1B
"15",25,21,"O43707|ACTN4_HUMAN",468.17,93,73,71,76,76,74,75,77,78,76,79,72,77,78,79,57,56,70,66,66,69,69,68,73,69,75,68,71,74,69,74,72,61,72,878620000,447620000,1156900000,1025100000,951260000,841750000,1164500000,1009400000,995630000,1127500000,992280000,705350000,1017100000,921560000,707790000,207560000,1495800000,311840000,847210000,696400000,1.443e+09,480910000,2.24e+09,1158500000,1813400000,440910000,753960000,926530000,718510000,626860000,929710000,286520000,676320000,102,74,193,152,228,230,218,175,222,217,220,225,196,186,214,214,148,100,186,137,174,189,202,226,223,192,180,154,183,184,170,185,210,128,205,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",104854,"Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2",ACTN4
"16",64,117,"P46940|IQGA1_HUMAN",465.34,75,46,32,44,40,43,46,47,40,42,36,42,39,44,37,39,39,57,50,36,48,44,34,51,46,46,53,38,48,47,52,49,40,51,384350000,164480000,504130000,323090000,395650000,423800000,5.32e+08,405380000,433080000,272250000,429630000,382030000,445020000,352280000,574540000,133290000,1177700000,360710000,633210000,621950000,824860000,199190000,1118500000,707330000,1086900000,464820000,497380000,883360000,544820000,506110000,772520000,302330000,575870000,125,125,116,66,116,99,109,118,127,109,109,86,104,100,118,93,89,72,147,109,108,121,126,96,139,122,122,113,100,98,103,127,115,109,130,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",189251,"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1",IQGAP1
"17",96,79,"P02452|CO1A1_HUMAN",458.74,84,65,60,58,13,69,59,48,51,48,44,51,55,47,18,32,6,47,11,47,10,49,11,43,15,47,5,35,12,6,31,10,19,18,831920000,470900000,729090000,13114000,1560100000,1.122e+09,417320000,275060000,371260000,211500000,447370000,314150000,191710000,36302000,508550000,3174200,1015700000,32361000,1131500000,54592000,1222400000,42364000,1266100000,170120000,2071500000,12951000,526670000,72619000,84022000,282040000,37823000,174100000,168210000,104,103,158,103,122,12,210,150,85,72,88,62,90,75,63,23,70,8,94,16,116,16,109,18,100,30,117,5,73,17,10,56,13,42,30,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",138942,"Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5;",COL1A1
"18",28,28,"P21980|TGM2_HUMAN",458.08,91,60,61,69,64,66,67,69,68,67,73,57,58,66,63,49,49,60,55,53,65,60,62,71,77,69,65,68,70,62,75,66,68,69,1539100000,956140000,4541700000,3255300000,2867900000,3190300000,4551400000,3601200000,4546100000,6150300000,2633600000,1541800000,1.982e+09,1172200000,1.266e+09,472710000,3157200000,690670000,1660800000,1853300000,3128700000,803520000,6230600000,1.0362e+10,4990900000,934120000,4818100000,9.402e+09,6460700000,3263500000,5145600000,1075700000,2070800000,70,70,138,123,216,183,188,178,216,191,230,280,165,143,150,129,88,91,127,87,114,124,157,190,238,311,224,97,242,352,307,187,227,137,169,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",77329,"Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2",TGM2
"19",17,46,"P14618|KPYM_HUMAN",457.27,89,68,79,73,75,72,74,73,75,78,74,76,78,78,76,59,57,72,64,60,62,66,63,68,61,69,60,73,70,71,71,71,64,68,3.883e+09,2235600000,6553100000,3.398e+09,4800300000,4106500000,5756600000,3481300000,4620100000,3413400000,5223500000,2666700000,4246100000,2741400000,3826200000,1104200000,7843300000,1901900000,5165400000,3310800000,7.401e+09,2345400000,1.1772e+10,7428400000,1.0586e+10,1892900000,5536200000,6192600000,4538400000,5114600000,5473600000,1825500000,3316600000,67,65,235,190,289,207,280,236,263,234,245,239,245,208,253,228,133,131,208,145,181,155,215,272,259,235,310,106,299,265,219,226,229,161,193,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",57937,"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4",PKM
"20",46,84,"P08238|HS90B_HUMAN",457.09,75,60,47,59,56,59,59,56,58,56,60,53,52,56,57,53,54,56,50,60,48,59,46,53,48,55,43,57,55,48,58,52,56,60,347180000,171220000,506720000,303960000,421420000,355330000,374600000,242420000,351010000,277580000,439730000,165310000,268440000,252570000,532950000,116740000,884720000,143640000,553970000,221380000,725550000,93527000,767920000,306490000,870320000,142950000,415190000,387090000,392510000,325730000,313670000,212400000,249810000,68,31,162,106,197,141,165,139,154,137,168,131,165,117,135,135,125,78,156,84,158,77,151,81,154,114,150,85,130,96,116,131,102,113,110,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",83264,"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",HSP90AB1
"21",75,171,"P49327|FAS_HUMAN",453.18,73,31,32,41,39,34,35,31,34,30,34,32,33,36,41,23,29,33,43,22,41,28,20,35,29,28,33,22,30,31,28,25,29,24,183530000,165060000,347520000,308390000,214090000,291890000,237340000,191810000,205630000,223240000,254510000,149450000,205860000,263890000,397090000,143660000,557780000,361120000,357990000,793660000,429320000,86892000,335430000,152320000,757300000,273340000,210810000,308210000,232160000,138980000,123650000,132880000,121650000,131,131,73,72,103,101,77,100,75,81,80,90,88,81,92,102,65,75,86,110,78,127,75,58,80,57,78,86,62,68,60,57,57,66,52,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",273424,"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3",FASN
"22",3,8,"P60709|ACTB_HUMAN",451.67,99,97,98,97,97,98,98,96,98,89,98,98,97,97,96,81,74,82,79,83,90,81,78,88,88,85,77,79,87,86,88,89,87,83,507600000,486910000,802880000,705730000,534480000,436340000,627380000,718230000,570560000,684910000,636820000,551830000,574290000,670070000,64347000,32612000,173420000,39224000,151820000,166450000,256140000,231700000,288170000,576160000,427270000,89313000,764170000,471020000,144670000,403660000,273290000,21281000,376670000,62,3,538,399,629,598,536,476,529,583,477,545,525,536,550,609,665,540,700,606,738,774,877,864,891,802,952,557,878,833,911,853,878,689,1202,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",41737,"Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB
"23",1,9,"P63261|ACTG_HUMAN",451.23,99,97,98,97,97,98,98,96,98,89,98,98,97,97,97,81,74,82,79,83,90,82,78,88,88,85,77,79,87,87,88,89,87,83,556900000,591390000,1035200000,875540000,670820000,566850000,811330000,763970000,635880000,669850000,820940000,594200000,680420000,783660000,262040000,109430000,527580000,132510000,404390000,223370000,852170000,268520000,863540000,579390000,1857800000,102460000,517840000,582190000,471760000,361950000,238550000,92102000,263160000,62,3,562,420,658,615,549,496,554,602,503,557,547,551,578,636,683,561,725,617,778,779,891,868,910,816,973,568,882,847,921,856,893,698,1209,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",41793,"Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",ACTG1
"24",69,122,"O75369|FLNB_HUMAN",448.16,73,28,23,44,37,26,22,24,25,26,29,23,20,27,32,18,19,31,23,20,27,25,13,25,30,27,26,14,19,19,25,36,25,31,117580000,92219000,572680000,283790000,121010000,89235000,106470000,137010000,128430000,131320000,94272000,61975000,122930000,121790000,1.66e+08,36632000,586860000,147350000,206360000,188050000,213400000,63173000,376140000,382840000,288790000,143800000,69393000,199910000,248410000,101900000,318070000,108560000,204610000,151,137,82,58,133,115,73,60,72,87,65,80,68,65,72,89,98,71,132,102,101,102,96,105,100,136,123,119,76,101,130,100,156,101,112,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",278162,"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2",FLNB
"25",7,7,"P68032|ACTC_HUMAN",447.66,93,79,87,91,85,92,91,82,85,78,87,85,87,77,92,73,68,88,71,75,77,82,77,71,79,73,57,63,78,77,82,87,72,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0,368,350,401,440,357,348,337,439,323,405,368,386,396,450,465,370,469,418,532,582,578,589,539,492,621,397,522,541,588,566,593,531,823,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",42019,"Actin  alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",ACTC1
"26",42,51,"P13639|EF2_HUMAN",443.19,86,54,50,53,47,56,61,52,45,53,49,61,43,62,46,39,43,59,45,53,59,55,43,51,52,48,47,56,52,52,55,52,52,55,1179800000,717450000,1795300000,1217400000,1234200000,1226400000,1312700000,1017900000,1169500000,959160000,1601600000,754080000,795250000,1014500000,1420800000,602810000,2877700000,1303900000,1407100000,2660300000,2185100000,780090000,2756300000,2761900000,2588300000,1162200000,1647900000,2644400000,3.13e+09,1151300000,1811200000,851350000,1009400000,79,78,150,128,171,151,161,150,132,139,151,142,161,129,135,142,112,82,146,125,132,121,145,217,158,126,130,97,116,118,150,125,126,121,118,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",95338,"Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4",EEF2
"27",144,191,"P12111|CO6A3_HUMAN",442.16,62,18,31,5,8,18,39,10,11,11,8,18,24,9,5,9,12,21,36,8,21,18,15,16,16,21,18,13,13,7,13,6,10,11,61219000,210870000,5483900,11926000,61857000,475920000,41007000,19330000,174240000,13816000,77704000,112660000,12170000,7255500,118740000,27396000,283770000,601860000,81845000,393420000,152580000,55378000,135300000,126340000,238090000,150870000,66726000,170370000,30321000,115060000,115230000,99968000,118730000,163,163,49,105,10,15,42,144,25,25,30,18,47,71,21,12,42,28,69,169,36,77,52,51,54,51,77,55,42,37,16,42,20,34,29,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",343668,"Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5;",COL6A3
